case_id,date,store_id,sku_id,severity,demand_anomaly_score,shrinkage_score,root_cause,agent_action,human_required
CASE01513,2026-03-27,STORE05,SKU088,0.866,0.701,0.729,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01514,2026-03-28,STORE01,SKU009,0.62,0.39,0.809,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01515,2026-03-28,STORE01,SKU023,0.766,0.501,0.71,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01516,2026-03-28,STORE01,SKU053,0.442,0.256,0.321,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01517,2026-03-28,STORE01,SKU093,0.592,0.359,0.509,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01518,2026-03-28,STORE01,SKU097,0.6,0.783,0.451,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01519,2026-03-28,STORE02,SKU037,0.474,0.442,0.5,expired_disposal,Check disposal log before replenishment.,0
CASE01520,2026-03-28,STORE03,SKU037,0.79,0.889,0.709,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE01521,2026-03-28,STORE04,SKU067,0.604,0.665,0.554,expired_disposal,Check disposal log before replenishment.,0
CASE01522,2026-03-29,STORE01,SKU043,0.298,0.263,0.326,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01523,2026-03-29,STORE01,SKU075,0.727,0.685,0.488,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01524,2026-03-29,STORE01,SKU076,0.655,0.245,0.718,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01525,2026-03-29,STORE01,SKU083,0.311,0.227,0.38,expired_disposal,Check disposal log before replenishment.,0
CASE01526,2026-03-29,STORE01,SKU084,0.848,0.778,0.633,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01527,2026-03-29,STORE02,SKU002,0.571,0.37,0.735,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01528,2026-03-29,STORE02,SKU011,0.797,0.763,0.824,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE01529,2026-03-29,STORE02,SKU033,0.485,0.252,0.675,expired_disposal,Check disposal log before replenishment.,0
CASE01530,2026-03-29,STORE02,SKU046,0.427,0.604,0.282,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01531,2026-03-29,STORE02,SKU048,0.621,0.788,0.484,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01532,2026-03-29,STORE03,SKU035,0.492,0.598,0.405,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01533,2026-03-29,STORE03,SKU074,0.688,0.947,0.476,expired_disposal,Check disposal log before replenishment.,0
CASE01534,2026-03-29,STORE03,SKU078,0.473,0.661,0.319,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01535,2026-03-29,STORE03,SKU099,0.38,0.33,0.421,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01536,2026-03-29,STORE04,SKU020,0.589,0.594,0.585,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01537,2026-03-29,STORE04,SKU066,0.523,0.549,0.502,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01538,2026-03-29,STORE05,SKU014,0.894,0.919,0.6,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01539,2026-03-29,STORE05,SKU026,0.512,0.605,0.436,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01540,2026-03-29,STORE05,SKU042,0.838,0.715,0.666,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01541,2026-03-29,STORE05,SKU047,0.434,0.229,0.602,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01542,2026-03-30,STORE01,SKU049,0.622,0.532,0.422,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01543,2026-03-30,STORE02,SKU020,0.879,0.76,0.704,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01544,2026-03-30,STORE02,SKU030,0.838,0.319,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01545,2026-03-30,STORE02,SKU062,0.682,0.846,0.547,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01546,2026-03-30,STORE02,SKU083,0.552,0.742,0.397,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01547,2026-03-30,STORE03,SKU048,0.575,0.171,0.633,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01548,2026-03-30,STORE03,SKU083,0.634,0.497,0.746,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01549,2026-03-30,STORE03,SKU092,0.562,0.801,0.366,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01550,2026-03-30,STORE03,SKU094,0.69,0.835,0.571,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01551,2026-03-30,STORE04,SKU002,0.553,0.491,0.604,expired_disposal,Check disposal log before replenishment.,0
CASE01552,2026-03-30,STORE04,SKU004,0.952,0.573,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01553,2026-03-30,STORE04,SKU039,0.63,0.367,0.845,expired_disposal,Check disposal log before replenishment.,0
CASE01554,2026-03-30,STORE04,SKU068,0.625,0.467,0.481,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01555,2026-03-30,STORE04,SKU086,0.839,0.78,0.615,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01556,2026-03-30,STORE04,SKU087,0.574,0.479,0.652,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01557,2026-03-30,STORE05,SKU019,0.742,0.258,0.865,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01558,2026-03-30,STORE05,SKU026,0.767,0.17,0.982,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01559,2026-03-30,STORE05,SKU054,1.054,0.924,0.887,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01560,2026-03-30,STORE05,SKU064,0.775,0.647,0.88,expired_disposal,Check disposal log before replenishment.,1
CASE01561,2026-03-30,STORE05,SKU075,0.569,0.563,0.574,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01562,2026-03-30,STORE05,SKU085,0.946,0.909,0.704,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01563,2026-03-31,STORE01,SKU002,0.556,0.532,0.576,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01564,2026-03-31,STORE01,SKU025,0.706,0.782,0.644,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01565,2026-03-31,STORE01,SKU035,0.81,0.548,0.752,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01566,2026-03-31,STORE01,SKU042,0.507,0.581,0.447,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01567,2026-03-31,STORE01,SKU053,0.636,0.652,0.351,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01568,2026-03-31,STORE01,SKU060,0.807,0.893,0.736,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE01569,2026-03-31,STORE01,SKU079,0.455,0.194,0.395,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01570,2026-03-31,STORE01,SKU091,0.598,0.387,0.497,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01571,2026-03-31,STORE02,SKU018,0.405,0.382,0.424,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01572,2026-03-31,STORE02,SKU051,0.702,0.949,0.5,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01573,2026-03-31,STORE02,SKU062,0.659,0.4,0.598,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01574,2026-03-31,STORE03,SKU002,0.538,0.777,0.342,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01575,2026-03-31,STORE03,SKU025,0.589,0.583,0.593,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01576,2026-03-31,STORE03,SKU044,0.526,0.687,0.394,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01577,2026-03-31,STORE03,SKU068,0.663,0.395,0.883,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01578,2026-03-31,STORE03,SKU092,0.421,0.297,0.249,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01579,2026-03-31,STORE04,SKU030,0.855,0.697,0.984,expired_disposal,Check disposal log before replenishment.,1
CASE01580,2026-03-31,STORE04,SKU055,0.626,0.886,0.413,expired_disposal,Check disposal log before replenishment.,0
CASE01581,2026-03-31,STORE04,SKU087,0.725,0.816,0.65,expired_disposal,Check disposal log before replenishment.,1
CASE01582,2026-03-31,STORE05,SKU001,0.678,0.518,0.537,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01583,2026-03-31,STORE05,SKU054,0.511,0.437,0.571,expired_disposal,Check disposal log before replenishment.,0
CASE01584,2026-03-31,STORE05,SKU079,0.724,0.276,0.818,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01585,2026-04-01,STORE01,SKU010,0.867,0.641,0.779,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01586,2026-04-01,STORE01,SKU071,0.861,0.855,0.593,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01587,2026-04-01,STORE01,SKU091,0.507,0.64,0.399,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01588,2026-04-01,STORE01,SKU096,0.398,0.219,0.544,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01589,2026-04-01,STORE01,SKU097,0.422,0.452,0.397,expired_disposal,Check disposal log before replenishment.,0
CASE01590,2026-04-01,STORE02,SKU015,0.969,0.861,0.785,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01591,2026-04-01,STORE02,SKU047,0.588,0.817,0.4,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01592,2026-04-01,STORE02,SKU058,0.77,0.168,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01593,2026-04-01,STORE02,SKU087,0.41,0.359,0.451,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01594,2026-04-01,STORE03,SKU009,0.887,0.76,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE01595,2026-04-01,STORE03,SKU025,0.425,0.284,0.541,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01596,2026-04-01,STORE03,SKU047,0.597,0.514,0.665,expired_disposal,Check disposal log before replenishment.,0
CASE01597,2026-04-01,STORE03,SKU050,0.649,0.686,0.346,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01598,2026-04-01,STORE03,SKU077,0.431,0.394,0.461,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01599,2026-04-01,STORE03,SKU093,0.476,0.301,0.62,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01600,2026-04-01,STORE04,SKU005,0.726,0.463,0.668,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01601,2026-04-01,STORE04,SKU019,0.526,0.648,0.426,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01602,2026-04-01,STORE04,SKU064,0.482,0.164,0.47,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01603,2026-04-01,STORE04,SKU066,0.355,0.363,0.349,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01604,2026-04-01,STORE05,SKU003,0.433,0.459,0.411,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01605,2026-04-01,STORE05,SKU017,0.609,0.143,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01606,2026-04-02,STORE01,SKU080,0.564,0.496,0.346,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01607,2026-04-02,STORE02,SKU095,0.68,0.384,0.65,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01608,2026-04-02,STORE03,SKU028,0.828,0.927,0.747,expired_disposal,Check disposal log before replenishment.,1
CASE01609,2026-04-02,STORE03,SKU029,0.987,0.65,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01610,2026-04-02,STORE03,SKU063,0.42,0.299,0.519,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01611,2026-04-02,STORE03,SKU072,0.707,0.851,0.589,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01612,2026-04-02,STORE03,SKU073,0.86,0.702,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE01613,2026-04-02,STORE04,SKU007,0.692,0.134,0.876,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01614,2026-04-02,STORE04,SKU026,0.876,0.847,0.627,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01615,2026-04-02,STORE04,SKU066,0.624,0.558,0.678,expired_disposal,Check disposal log before replenishment.,0
CASE01616,2026-04-02,STORE04,SKU085,0.453,0.631,0.307,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01617,2026-04-02,STORE04,SKU086,0.535,0.148,0.579,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01618,2026-04-02,STORE05,SKU018,0.851,0.736,0.673,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01619,2026-04-02,STORE05,SKU027,0.87,0.391,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01620,2026-04-02,STORE05,SKU052,0.646,0.576,0.704,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01621,2026-04-03,STORE01,SKU008,0.649,0.631,0.664,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01622,2026-04-03,STORE01,SKU049,0.476,0.312,0.337,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01623,2026-04-03,STORE01,SKU068,0.452,0.143,0.704,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01624,2026-04-03,STORE02,SKU009,1.01,0.949,0.788,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01625,2026-04-03,STORE02,SKU023,0.763,0.79,0.74,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE01626,2026-04-03,STORE02,SKU042,0.243,0.119,0.345,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01627,2026-04-03,STORE02,SKU052,0.543,0.657,0.449,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01628,2026-04-03,STORE02,SKU055,0.363,0.169,0.521,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01629,2026-04-03,STORE02,SKU074,0.595,0.739,0.477,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01630,2026-04-03,STORE03,SKU040,0.602,0.687,0.533,expired_disposal,Check disposal log before replenishment.,0
CASE01631,2026-04-03,STORE03,SKU089,0.543,0.274,0.491,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01632,2026-04-03,STORE04,SKU037,0.895,0.868,0.645,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01633,2026-04-03,STORE04,SKU043,0.384,0.431,0.345,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01634,2026-04-03,STORE04,SKU072,0.544,0.297,0.474,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01635,2026-04-03,STORE04,SKU090,0.369,0.137,0.559,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01636,2026-04-03,STORE05,SKU002,0.781,0.288,0.911,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01637,2026-04-03,STORE05,SKU023,0.652,0.527,0.481,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01638,2026-04-03,STORE05,SKU038,0.26,0.122,0.372,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01639,2026-04-04,STORE01,SKU094,0.566,0.717,0.442,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01640,2026-04-04,STORE02,SKU075,0.49,0.526,0.461,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01641,2026-04-04,STORE04,SKU044,0.571,0.446,0.674,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01642,2026-04-04,STORE04,SKU081,0.541,0.198,0.548,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01643,2026-04-04,STORE04,SKU088,0.727,0.571,0.582,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01644,2026-04-04,STORE05,SKU005,1.001,0.894,0.815,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01645,2026-04-04,STORE05,SKU015,0.515,0.377,0.627,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01646,2026-04-04,STORE05,SKU034,0.942,0.884,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE01647,2026-04-04,STORE05,SKU080,0.769,0.843,0.708,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE01648,2026-04-05,STORE02,SKU035,0.695,0.626,0.479,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01649,2026-04-05,STORE02,SKU066,0.495,0.52,0.475,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01650,2026-04-05,STORE03,SKU007,0.969,0.61,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01651,2026-04-05,STORE03,SKU009,1.045,0.78,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01652,2026-04-05,STORE03,SKU065,0.597,0.487,0.415,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01653,2026-04-05,STORE03,SKU071,0.446,0.511,0.392,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01654,2026-04-05,STORE03,SKU077,0.446,0.491,0.409,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01655,2026-04-05,STORE04,SKU005,0.875,0.864,0.611,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01656,2026-04-05,STORE04,SKU040,0.875,0.74,0.713,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01657,2026-04-05,STORE04,SKU050,0.37,0.459,0.297,expired_disposal,Check disposal log before replenishment.,0
CASE01658,2026-04-05,STORE05,SKU008,0.579,0.676,0.5,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01659,2026-04-05,STORE05,SKU018,0.778,0.883,0.692,expired_disposal,Check disposal log before replenishment.,1
CASE01660,2026-04-06,STORE01,SKU002,1.058,0.807,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01661,2026-04-06,STORE01,SKU050,0.583,0.626,0.547,expired_disposal,Check disposal log before replenishment.,0
CASE01662,2026-04-06,STORE01,SKU084,0.614,0.315,0.859,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01663,2026-04-06,STORE02,SKU005,0.269,0.123,0.389,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01664,2026-04-06,STORE02,SKU041,0.687,0.793,0.6,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01665,2026-04-06,STORE02,SKU044,0.5,0.367,0.608,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01666,2026-04-06,STORE02,SKU046,0.591,0.681,0.517,expired_disposal,Check disposal log before replenishment.,0
CASE01667,2026-04-06,STORE02,SKU047,0.669,0.797,0.564,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01668,2026-04-06,STORE02,SKU071,0.329,0.209,0.428,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01669,2026-04-06,STORE02,SKU096,0.77,0.578,0.655,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01670,2026-04-06,STORE03,SKU002,0.576,0.364,0.477,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01671,2026-04-06,STORE03,SKU022,0.467,0.348,0.565,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01672,2026-04-06,STORE03,SKU066,0.461,0.237,0.644,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01673,2026-04-06,STORE03,SKU071,0.191,0.142,0.231,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01674,2026-04-06,STORE03,SKU080,1.037,0.775,0.979,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01675,2026-04-06,STORE04,SKU004,1.081,0.858,0.99,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01676,2026-04-06,STORE04,SKU020,0.827,0.599,0.74,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01677,2026-04-06,STORE04,SKU057,0.623,0.7,0.56,expired_disposal,Check disposal log before replenishment.,0
CASE01678,2026-04-06,STORE04,SKU061,0.839,0.909,0.782,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE01679,2026-04-06,STORE05,SKU014,0.542,0.364,0.688,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01680,2026-04-06,STORE05,SKU094,0.822,0.76,0.872,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE01681,2026-04-07,STORE01,SKU025,0.691,0.941,0.486,expired_disposal,Check disposal log before replenishment.,0
CASE01682,2026-04-07,STORE01,SKU069,0.238,0.16,0.302,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01683,2026-04-07,STORE01,SKU090,0.77,0.895,0.395,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01684,2026-04-07,STORE02,SKU011,0.957,0.917,0.99,expired_disposal,Check disposal log before replenishment.,1
CASE01685,2026-04-07,STORE02,SKU024,0.699,0.352,0.71,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01686,2026-04-07,STORE02,SKU066,0.636,0.639,0.633,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01687,2026-04-07,STORE02,SKU073,0.274,0.201,0.334,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01688,2026-04-07,STORE03,SKU017,0.332,0.192,0.446,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01689,2026-04-07,STORE03,SKU041,0.709,0.695,0.721,expired_disposal,Check disposal log before replenishment.,0
CASE01690,2026-04-07,STORE04,SKU020,0.809,0.595,0.712,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01691,2026-04-07,STORE04,SKU065,0.529,0.709,0.381,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01692,2026-04-07,STORE04,SKU066,0.759,0.354,0.817,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01693,2026-04-07,STORE04,SKU070,0.369,0.374,0.364,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01694,2026-04-07,STORE04,SKU092,0.696,0.778,0.357,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01695,2026-04-07,STORE05,SKU026,0.878,0.741,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE01696,2026-04-07,STORE05,SKU033,0.463,0.234,0.65,expired_disposal,Check disposal log before replenishment.,0
CASE01697,2026-04-08,STORE01,SKU012,0.866,0.397,0.977,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01698,2026-04-08,STORE01,SKU037,0.446,0.345,0.529,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01699,2026-04-08,STORE01,SKU041,0.493,0.458,0.522,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01700,2026-04-08,STORE01,SKU055,0.815,0.866,0.501,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01701,2026-04-08,STORE01,SKU064,0.643,0.468,0.787,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01702,2026-04-08,STORE02,SKU048,0.5,0.444,0.545,expired_disposal,Check disposal log before replenishment.,0
CASE01703,2026-04-08,STORE02,SKU053,0.507,0.653,0.388,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01704,2026-04-08,STORE02,SKU085,0.885,0.908,0.593,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01705,2026-04-08,STORE02,SKU088,0.466,0.432,0.493,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01706,2026-04-08,STORE02,SKU096,0.703,0.919,0.527,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01707,2026-04-08,STORE03,SKU055,0.47,0.657,0.317,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01708,2026-04-08,STORE03,SKU070,0.415,0.595,0.267,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01709,2026-04-08,STORE03,SKU097,0.65,0.791,0.534,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01710,2026-04-08,STORE04,SKU027,0.441,0.142,0.413,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01711,2026-04-08,STORE04,SKU035,0.459,0.186,0.683,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01712,2026-04-08,STORE04,SKU036,0.331,0.401,0.273,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01713,2026-04-08,STORE04,SKU087,0.536,0.697,0.404,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01714,2026-04-08,STORE04,SKU092,0.67,0.833,0.536,misplacement,Check planogram slot and re-run vision after shelf correction.,0
CASE01715,2026-04-08,STORE04,SKU099,0.912,0.836,0.702,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01716,2026-04-08,STORE05,SKU006,0.772,0.638,0.609,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01717,2026-04-08,STORE05,SKU015,0.846,0.725,0.945,camera_error,Re-run CV from alternate snapshot and lower confidence.,1
CASE01718,2026-04-08,STORE05,SKU024,0.681,0.567,0.774,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01719,2026-04-08,STORE05,SKU035,0.636,0.585,0.405,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01720,2026-04-08,STORE05,SKU053,0.956,0.914,0.99,misplacement,Check planogram slot and re-run vision after shelf correction.,1
CASE01721,2026-04-08,STORE05,SKU082,0.71,0.651,0.485,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01722,2026-04-08,STORE05,SKU098,0.321,0.126,0.481,camera_error,Re-run CV from alternate snapshot and lower confidence.,0
CASE01723,2026-04-09,STORE01,SKU019,0.618,0.508,0.435,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01724,2026-04-09,STORE01,SKU021,0.607,0.315,0.574,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01725,2026-04-09,STORE01,SKU060,0.815,0.601,0.99,expired_disposal,Check disposal log before replenishment.,1
CASE01726,2026-04-09,STORE01,SKU063,0.751,0.818,0.424,theft_suspected,"Freeze auto-order, request staff verification, preserve snapshot.",1
CASE01727,2026-04-09,STORE01,SKU078,0.57,0.525,0.607,misplacement,Check planogram slot and re-run vision after shelf correction.,0
